输出时间:	2022/9/9 14:34	
		
测量方式:	波长扫描	
扫描模式:	发射模式	
数据模式:	荧光模式	
激发波长:	300	nm
发射起始波长:	350	nm
发射终止波长:	550	nm
扫描速度:	1000	nm/min
扫描间隔:	1	nm
等待时间:	0	s
		
激发带宽:	10	nm
发射带宽:	10	nm
增益(PMT):	高	 900V
响应时间:	自动匹配	
自动光门:	未使用	
重复次数:	1	
重复间隔:	1	
		
图谱数据:	Chun-Spiro1	
Data Points
nm	Data	
350	89.78142857	
351	89.21809524	
352	89.13595238	
353	89.22666667	
354	89.10047619	
355	88.40142857	
356	87.34619048	
357	86.84380952	
358	86.23714286	
359	85.93	
360	85.83428571	
361	85.57761905	
362	85.36904762	
363	85.26047619	
364	84.81142857	
365	84.36619048	
366	84.43809524	
367	85.13047619	
368	85.81238095	
369	86.49571429	
370	86.78666667	
371	86.9752381	
372	87.31047619	
373	87.14	
374	86.31857143	
375	85.59428571	
376	84.89142857	
377	84.84428571	
378	84.86095238	
379	84.61571429	
380	84.51190476	
381	84.56619048	
382	84.68857143	
383	84.91428571	
384	84.99285714	
385	85.33619048	
386	85.75904762	
387	86.13333333	
388	86.42571429	
389	86.25142857	
390	86.10857143	
391	85.74095238	
392	85.42952381	
393	85.40428571	
394	85.40333333	
395	85.78952381	
396	86.91285714	
397	88.58761905	
398	91.06333333	
399	93.57857143	
400	95.75619048	
401	98.32095238	
402	101.2661905	
403	104.6514286	
404	109.0295238	
405	114.4142857	
406	121.3857143	
407	131.1285714	
408	144.0047619	
409	160.4333333	
410	182.1285714	
411	209.1333333	
412	242.7666667	
413	284.4952381	
414	334.6714286	
415	396.2333333	
416	472.6380952	
417	565.9095238	
418	680.2761905	
419	820.347619	
420	989.4	
421	1193.952381	
422	1438.180952	
423	1723.428571	
424	2050.619048	
425	2416.714286	
426	2815.333333	
427	3243.666667	
428	3695.904762	
429	4159.952381	
430	4627.333333	
431	5080.809524	
432	5507.619048	
433	5904.571429	
434	6262.809524	
435	6569.333333	
436	6824.666667	
437	7020.904762	
438	7159.952381	
439	7248.095238	
440	7285.666667	
441	7273.142857	
442	7223.333333	
443	7135.904762	
444	7014.52381	
445	6871.380952	
446	6709.666667	
447	6527.809524	
448	6332.666667	
449	6118.714286	
450	5889.714286	
451	5659.142857	
452	5425.857143	
453	5192.190476	
454	4963.714286	
455	4740.666667	
456	4526.428571	
457	4320.380952	
458	4116.52381	
459	3918.142857	
460	3722.333333	
461	3534.47619	
462	3353.380952	
463	3180.285714	
464	3015.52381	
465	2862.047619	
466	2714.428571	
467	2579.190476	
468	2449.47619	
469	2324.238095	
470	2204.904762	
471	2093	
472	1987.047619	
473	1891.857143	
474	1802	
475	1715.428571	
476	1635.952381	
477	1559.761905	
478	1487.761905	
479	1420.190476	
480	1353.666667	
481	1289.380952	
482	1230.952381	
483	1174.571429	
484	1123.6	
485	1076.028571	
486	1029.071429	
487	984.3714286	
488	941.152381	
489	897.7333333	
490	855.5	
491	813.9714286	
492	774.4333333	
493	738.2095238	
494	703.8047619	
495	670.247619	
496	637.747619	
497	607.1	
498	579.7	
499	553.7333333	
500	529.1619048	
501	505.9238095	
502	484.2285714	
503	464.0380952	
504	445.6	
505	426.7380952	
506	408.6095238	
507	390.9238095	
508	374.0761905	
509	358.2428571	
510	344.7190476	
511	332.147619	
512	320.452381	
513	308.6761905	
514	297.4952381	
515	286.9952381	
516	277.6238095	
517	267.9380952	
518	258.4380952	
519	248.6761905	
520	239.7238095	
521	232.3809524	
522	225.7047619	
523	219.3809524	
524	213.5857143	
525	207.152381	
526	201.5857143	
527	196.9857143	
528	192.3190476	
529	187.2285714	
530	182.0142857	
531	177.2190476	
532	173.5571429	
533	170.2047619	
534	166.5	
535	161.8904762	
536	158.0714286	
537	155.0619048	
538	152.6428571	
539	150.3333333	
540	148.0333333	
541	146.1904762	
542	145.4	
543	144.5190476	
544	143.4238095	
545	141.4190476	
546	139.6904762	
547	138.4761905	
548	137.6428571	
549	136.5214286	
550	134.6619048	
